language,agent,model,effort,run_id,eval,score_count,score_total,score_pct,wall_min,input_tokens,output_tokens,cost_usd,tools,files,loc,result_link,transcript_link,last_message
C++,codex-cli,gpt-5.4,xhigh,1,eval7,423,542,78.0,52.9,8700000.0,155000.0,5.39,82.0,9.0,4276.0,../../results/cncsim-full/codex-cli/gpt-5.4_xhigh/eval7/run1/result.json,../../results/cncsim-full/codex-cli/gpt-5.4_xhigh/eval7/run1/transcript.jsonl,Claims complete; multi-file C++20 project under `output/` with `CMakeLists.txt` + `simulator.cpp`.
C++,codex-cli,gpt-5.4,xhigh,2,eval7,249,542,45.9,36.1,14700000.0,97000.0,5.87,83.0,2.0,3068.0,../../results/cncsim-full/codex-cli/gpt-5.4_xhigh/eval7/run2/result.json,../../results/cncsim-full/codex-cli/gpt-5.4_xhigh/eval7/run2/transcript.jsonl,Claims complete; single-file `main.cpp` + `CMakeLists.txt`.
C++,codex-cli,gpt-5.4,xhigh,3,eval7,263,542,48.5,56.6,13600000.0,111000.0,6.2,66.0,4.0,3811.0,../../results/cncsim-full/codex-cli/gpt-5.4_xhigh/eval7/run3/result.json,../../results/cncsim-full/codex-cli/gpt-5.4_xhigh/eval7/run3/transcript.jsonl,Claims complete; `output/main.cpp` + `output/simulator.cpp` + `output/CMakeLists.txt`.
C++,codex-cli,gpt-5.4-mini,xhigh,1,eval4,205,542,37.8,80.7,26700000.0,400000.0,4.4,238.0,5.0,2734.0,../../results/cncsim-full/codex-cli/gpt-5.4-mini_xhigh/eval4/run1/result.json,../../results/cncsim-full/codex-cli/gpt-5.4-mini_xhigh/eval4/run1/transcript.jsonl,Claims complete; C++20 project built with `cmake -B build && cmake --build build`.
C++,codex-cli,gpt-5.4-mini,xhigh,2,eval4,248,542,45.8,105.3,38200000.0,690000.0,7.23,416.0,3.0,4219.0,../../results/cncsim-full/codex-cli/gpt-5.4-mini_xhigh/eval4/run2/result.json,../../results/cncsim-full/codex-cli/gpt-5.4-mini_xhigh/eval4/run2/transcript.jsonl,Claims complete; 105-min run with 38M input tokens.
C++,codex-cli,gpt-5.4-mini,xhigh,3,eval4,0,542,0.0,35.2,,,,,3.0,234.0,../../results/cncsim-full/codex-cli/gpt-5.4-mini_xhigh/eval4/run3/result.json,../../results/cncsim-full/codex-cli/gpt-5.4-mini_xhigh/eval4/run3/transcript.jsonl,"Incomplete; context-exhausted while still ""fixing the scaffold before the real implementation lands."" 3 scaffold files / 234 LOC, no working implementation."
C++,codex-cli,gpt-5.3-codex,xhigh,2,eval2,259,542,47.8,38.4,4900000.0,122000.0,2.81,54.0,3.0,4027.0,../../results/cncsim-full/codex-cli/gpt-5.3-codex_xhigh/eval2/run2/result.json,../../results/cncsim-full/codex-cli/gpt-5.3-codex_xhigh/eval2/run2/transcript.jsonl,Claims complete.
C++,codex-cli,gpt-5.3-codex,xhigh,3,eval2,265,542,48.9,36.0,8200000.0,82000.0,3.12,50.0,3.0,4088.0,../../results/cncsim-full/codex-cli/gpt-5.3-codex_xhigh/eval2/run3/result.json,../../results/cncsim-full/codex-cli/gpt-5.3-codex_xhigh/eval2/run3/transcript.jsonl,Claims complete; C++20 simulator in a three-file output tree.
C++,codex-cli,gpt-5.2-codex,xhigh,1,eval3,266,542,49.1,130.2,22900000.0,286000.0,8.62,117.0,2.0,3255.0,../../results/cncsim-full/codex-cli/gpt-5.2-codex_xhigh/eval3/run1/result.json,../../results/cncsim-full/codex-cli/gpt-5.2-codex_xhigh/eval3/run1/transcript.jsonl,Claims complete.
C++,codex-cli,gpt-5.2-codex,xhigh,2,eval3,419,542,77.3,64.2,18900000.0,184000.0,6.56,152.0,3.0,4332.0,../../results/cncsim-full/codex-cli/gpt-5.2-codex_xhigh/eval3/run2/result.json,../../results/cncsim-full/codex-cli/gpt-5.2-codex_xhigh/eval3/run2/transcript.jsonl,"Claims complete; noted corrections to G10/G92 motion suppression, cutter-comp arc position, and trace step validation."
C++,codex-cli,gpt-5.2-codex,xhigh,3,eval3,258,542,47.6,92.5,35300000.0,226000.0,10.65,178.0,3.0,3565.0,../../results/cncsim-full/codex-cli/gpt-5.2-codex_xhigh/eval3/run3/result.json,../../results/cncsim-full/codex-cli/gpt-5.2-codex_xhigh/eval3/run3/transcript.jsonl,Claims complete.
C++,codex-cli,gpt-5.2,high,1,eval2,412,542,76.0,44.5,11800000.0,128000.0,4.07,47.0,17.0,3590.0,../../results/cncsim-full/codex-cli/gpt-5.2_high/eval2/run1/result.json,../../results/cncsim-full/codex-cli/gpt-5.2_high/eval2/run1/transcript.jsonl,Claims complete; C++20 RS274/NGC simulator with no third-party deps.
C++,codex-cli,gpt-5.2,high,2,eval2,393,542,72.5,45.5,16200000.0,130000.0,4.77,65.0,20.0,3746.0,../../results/cncsim-full/codex-cli/gpt-5.2_high/eval2/run2/result.json,../../results/cncsim-full/codex-cli/gpt-5.2_high/eval2/run2/transcript.jsonl,Claims complete; multi-file C++20 simulator with broader project structure.
C++,codex-cli,gpt-5.2,high,3,eval2,259,542,47.8,67.9,31100000.0,162000.0,8.31,178.0,18.0,3355.0,../../results/cncsim-full/codex-cli/gpt-5.2_high/eval2/run3/result.json,../../results/cncsim-full/codex-cli/gpt-5.2_high/eval2/run3/transcript.jsonl,Claims complete.
C++,codex-cli,gpt-5.1-codex-max,xhigh,1,eval2,203,542,37.5,16.1,3800000.0,56000.0,2.13,41.0,3.0,2225.0,../../results/cncsim-full/codex-cli/gpt-5.1-codex-max_xhigh/eval2/run1/result.json,../../results/cncsim-full/codex-cli/gpt-5.1-codex-max_xhigh/eval2/run1/transcript.jsonl,Claims complete.
C++,codex-cli,gpt-5.1-codex-max,xhigh,2,eval2,321,542,59.2,21.0,9300000.0,70000.0,3.23,55.0,3.0,2122.0,../../results/cncsim-full/codex-cli/gpt-5.1-codex-max_xhigh/eval2/run2/result.json,../../results/cncsim-full/codex-cli/gpt-5.1-codex-max_xhigh/eval2/run2/transcript.jsonl,Claims complete; noted simplifications in canned cycles and cutter-radius compensation.
C++,codex-cli,gpt-5.1-codex-max,xhigh,3,eval2,134,542,24.7,15.6,4300000.0,54000.0,2.02,48.0,3.0,988.0,../../results/cncsim-full/codex-cli/gpt-5.1-codex-max_xhigh/eval2/run3/result.json,../../results/cncsim-full/codex-cli/gpt-5.1-codex-max_xhigh/eval2/run3/transcript.jsonl,Claims complete.
C++,codex-cli,gpt-5.1,high,1,eval1,278,542,51.3,16.4,6600000.0,87000.0,1.94,52.0,2.0,2117.0,../../results/cncsim-full/codex-cli/gpt-5.1_high/eval1/run1/result.json,../../results/cncsim-full/codex-cli/gpt-5.1_high/eval1/run1/transcript.jsonl,"Claims complete; full CLI with modal state, expressions, motion, probing, trace stepping in single `main.cpp`."
C++,codex-cli,gpt-5.1,high,2,eval1,41,542,7.6,12.8,4600000.0,71000.0,1.41,43.0,8.0,1431.0,../../results/cncsim-full/codex-cli/gpt-5.1_high/eval1/run2/result.json,../../results/cncsim-full/codex-cli/gpt-5.1_high/eval1/run2/transcript.jsonl,"Claims complete despite low score; ""syntactically correct RS274/NGC parser"" but runtime behavior mostly broken (41/542)."
C++,codex-cli,gpt-5.1,high,3,eval1,197,542,36.3,16.9,4300000.0,92000.0,1.5,48.0,7.0,2015.0,../../results/cncsim-full/codex-cli/gpt-5.1_high/eval1/run3/result.json,../../results/cncsim-full/codex-cli/gpt-5.1_high/eval1/run3/transcript.jsonl,Claims complete; modular parser/simulator split across multiple files.
C++,codex-cli,gpt-5,high,1,eval1,1,542,0.2,12.1,3500000.0,69000.0,1.22,44.0,4.0,12.0,../../results/cncsim-full/codex-cli/gpt-5_high/eval1/run1/result.json,../../results/cncsim-full/codex-cli/gpt-5_high/eval1/run1/transcript.jsonl,"Incomplete; acknowledged — agent gave up citing ""hard technical limitation in the current execution environment: the terminal tool mangles quotes and backslashes in long multi-line file writes."" Wrote stub only (12 LOC)."
C++,codex-cli,gpt-5,high,2,eval1,197,542,36.3,8.7,3600000.0,42000.0,0.96,27.0,10.0,1282.0,../../results/cncsim-full/codex-cli/gpt-5_high/eval1/run2/result.json,../../results/cncsim-full/codex-cli/gpt-5_high/eval1/run2/transcript.jsonl,Claims complete; standalone RS274/NGC simulator in C++20.
C++,codex-cli,gpt-5,high,3,eval1,1,542,0.2,13.1,2600000.0,88000.0,1.3,30.0,3.0,9.0,../../results/cncsim-full/codex-cli/gpt-5_high/eval1/run3/result.json,../../results/cncsim-full/codex-cli/gpt-5_high/eval1/run3/transcript.jsonl,"Incomplete; acknowledged — ""stub doesn't yet execute or trace G‑code; it only compiles successfully."" Listed 8 remaining work items. Asked ""If you want, I'll proceed now."""
C++,codex-cli,gpt-5.1-codex-mini,,1,eval1,0,542,0.0,1.1,298000.0,6000.0,0.03,6.0,0.0,0.0,../../results/cncsim-full/codex-cli/gpt-5.1-codex-mini/eval1/run1/result.json,../../results/cncsim-full/codex-cli/gpt-5.1-codex-mini/eval1/run1/transcript.jsonl,"Incomplete; wrote no code. Declined the task as ""far beyond what I can deliver in a single response."" Asked user to ""break the problem into narrower slices."""
C++,codex-cli,gpt-5.1-codex-mini,,2,eval1,132,542,24.4,12.5,5600000.0,88000.0,0.41,34.0,3.0,1735.0,../../results/cncsim-full/codex-cli/gpt-5.1-codex-mini/eval1/run2/result.json,../../results/cncsim-full/codex-cli/gpt-5.1-codex-mini/eval1/run2/transcript.jsonl,Claims complete.
C++,codex-cli,gpt-5.1-codex-mini,,3,eval1,0,542,0.0,6.2,2100000.0,40000.0,0.19,35.0,2.0,428.0,../../results/cncsim-full/codex-cli/gpt-5.1-codex-mini/eval1/run3/result.json,../../results/cncsim-full/codex-cli/gpt-5.1-codex-mini/eval1/run3/transcript.jsonl,"Incomplete; build failed. Acknowledged incomplete — listed 3 ""Remaining work"" items and noted ""build and runtime logic are still pending."" Spent 69% of tool calls reading the spec; only wrote an expression parser (no main, no simulation)."
C++,gemini-cli,gemini-3-flash-preview,,1,eval2,196,542,36.2,4.8,2300000.0,37000.0,0.45,33.0,10.0,2483.0,../../results/cncsim-full/gemini-cli/gemini-3-flash-preview/eval2/run1/result.json,../../results/cncsim-full/gemini-cli/gemini-3-flash-preview/eval2/run1/transcript.jsonl,Claims complete.
C++,gemini-cli,gemini-3-flash-preview,,2,eval2,182,542,33.6,7.4,4900000.0,50000.0,0.67,47.0,10.0,916.0,../../results/cncsim-full/gemini-cli/gemini-3-flash-preview/eval2/run2/result.json,../../results/cncsim-full/gemini-cli/gemini-3-flash-preview/eval2/run2/transcript.jsonl,Claims complete.
C++,gemini-cli,gemini-3-flash-preview,,3,eval2,238,542,43.9,13.3,10900000.0,81000.0,1.25,83.0,14.0,1043.0,../../results/cncsim-full/gemini-cli/gemini-3-flash-preview/eval2/run3/result.json,../../results/cncsim-full/gemini-cli/gemini-3-flash-preview/eval2/run3/transcript.jsonl,Claims complete.
C++,gemini-cli,gemini-2.5-flash,,1,eval2,0,542,0.0,14.6,5600000.0,86000.0,0.92,54.0,2.0,509.0,../../results/cncsim-full/gemini-cli/gemini-2.5-flash/eval2/run1/result.json,../../results/cncsim-full/gemini-cli/gemini-2.5-flash/eval2/run1/transcript.jsonl,Incomplete; build failed. Acknowledged limitations and stopped.
C++,gemini-cli,gemini-2.5-flash,,2,eval2,0,542,0.0,33.2,17600000.0,68000.0,2.71,116.0,9.0,1762.0,../../results/cncsim-full/gemini-cli/gemini-2.5-flash/eval2/run2/result.json,../../results/cncsim-full/gemini-cli/gemini-2.5-flash/eval2/run2/transcript.jsonl,Incomplete; build failed. Claimed blocked by persistent string literal compilation errors.
C++,gemini-cli,gemini-2.5-flash,,3,eval2,18,542,3.3,10.0,8600000.0,35000.0,0.44,89.0,3.0,1168.0,../../results/cncsim-full/gemini-cli/gemini-2.5-flash/eval2/run3/result.json,../../results/cncsim-full/gemini-cli/gemini-2.5-flash/eval2/run3/transcript.jsonl,Incomplete; was still iterating when session ended. Built successfully.
C++,gemini-cli,gemini-2.5-flash-lite,,1,eval2,0,542,0.0,1.3,258000.0,17000.0,0.02,2.0,0.0,0.0,../../results/cncsim-full/gemini-cli/gemini-2.5-flash-lite/eval2/run1/result.json,../../results/cncsim-full/gemini-cli/gemini-2.5-flash-lite/eval2/run1/transcript.jsonl,Incomplete; wrote no code. Laid out a plan but stopped after reading the spec.
