language,model,effort,run_uid,original_passed,original_total,original_percent,regraded_passed,regraded_total,regraded_percent,record
cpp,gpt-5.6-luna,high,cd28853b-3d00-4c67-9ec8-51c448bbc079,386,546,70.696,39,555,7.027,cpp-luna-high.json
cpp,gpt-5.6-luna,low,a332f6de-13ae-4c05-bc5b-258af1009ef4,112,546,20.5128,185,555,33.3333,cpp-luna-low.json
cpp,gpt-5.6-luna,max,a356eb33-94f5-4e8b-9573-5cb6666413ce,465,546,85.1648,519,555,93.5135,cpp-luna-max.json
cpp,gpt-5.6-sol,high,13ab0f39-efcd-422b-a56c-861c1544c82e,483,546,88.4615,542,555,97.6577,cpp-sol-high.json
cpp,gpt-5.6-sol,low,de0d08b7-3444-4246-aacc-130d3cc4ae68,256,546,46.8864,404,555,72.7928,cpp-sol-low.json
cpp,gpt-5.6-sol,max,9f8de624-86ac-4f98-8fc0-f678e9503e1b,496,546,90.8425,555,555,100.0,cpp-sol-max.json
cpp,gpt-5.6-terra,high,421decb2-890a-4d4f-9263-e82ddb5b8b17,261,546,47.8022,461,555,83.0631,cpp-terra-high.json
cpp,gpt-5.6-terra,low,fe0e45dc-d9a5-4d1c-bdbb-9e75ea5d8ba1,221,546,40.4762,187,555,33.6937,cpp-terra-low.json
cpp,gpt-5.6-terra,max,9f349513-32d1-4861-8212-73302e898036,266,546,48.7179,545,555,98.1982,cpp-terra-max.json
js,gpt-5.6-luna,high,c084cbdd-7771-4f13-ab1c-94a522ac31c3,451,546,82.6007,501,555,90.2703,js-luna-high.json
js,gpt-5.6-luna,low,b6089cc6-b01f-4895-8215-14f5a5c0d505,174,546,31.8681,177,555,31.8919,js-luna-low.json
js,gpt-5.6-luna,max,2e3775df-692a-4e0f-8dc1-a9112184fe3f,474,546,86.8132,527,555,94.955,js-luna-max.json
js,gpt-5.6-sol,high,f590007e-3259-4b39-9915-de739ea0890a,488,546,89.3773,553,555,99.6396,js-sol-high.json
js,gpt-5.6-sol,low,29af00cc-6ad8-454f-8c94-4affd68a0637,378,546,69.2308,390,555,70.2703,js-sol-low.json
js,gpt-5.6-sol,max,526391a0-bd0b-45b4-a29e-0664eb2a5ffb,480,546,87.9121,554,555,99.8198,js-sol-max.json
js,gpt-5.6-terra,high,91c49460-3ea2-4ac4-9a49-4e6c3a70d21f,462,546,84.6154,490,555,88.2883,js-terra-high.json
js,gpt-5.6-terra,low,b1658d6c-abe5-43a6-b4c9-7ec04d635c3c,101,546,18.4982,178,555,32.0721,js-terra-low.json
js,gpt-5.6-terra,max,a3ac163b-6225-4473-9625-3636a2a178ec,476,546,87.1795,552,555,99.4595,js-terra-max.json
py,gpt-5.6-luna,high,20616b33-a39b-45ed-a584-ef33117f56d5,436,546,79.8535,482,555,86.8468,py-luna-high.json
py,gpt-5.6-luna,low,d60134d1-7074-4445-89e6-c2c7a3a79f2a,206,546,37.7289,184,555,33.1532,py-luna-low.json
py,gpt-5.6-luna,max,70b4a154-dcb2-4a39-a324-d7af5a44fe7c,472,546,86.4469,522,555,94.0541,py-luna-max.json
py,gpt-5.6-sol,high,de74ccea-1353-429e-958e-174ca3d71a1d,477,546,87.3626,543,555,97.8378,py-sol-high.json
py,gpt-5.6-sol,low,e9fac471-24fb-4541-a773-3e8f9c05dd97,447,546,81.8681,485,555,87.3874,py-sol-low.json
py,gpt-5.6-sol,max,127fcd4c-4954-4ed8-968d-4fad5e983c16,487,546,89.1941,554,555,99.8198,py-sol-max.json
py,gpt-5.6-terra,high,9f4e27e8-0d36-4e91-be7e-1862cc2ffa10,436,546,79.8535,470,555,84.6847,py-terra-high.json
py,gpt-5.6-terra,low,9b3753ec-cc3b-4e50-a723-e920436e166e,325,546,59.5238,337,555,60.7207,py-terra-low.json
py,gpt-5.6-terra,max,f307e490-a890-46fc-9a01-9ff7cbbf2652,479,546,87.7289,545,555,98.1982,py-terra-max.json
rs,gpt-5.6-luna,high,c95d10f9-f269-429a-9797-5e5d554124c6,393,546,71.978,422,555,76.036,rs-luna-high.json
rs,gpt-5.6-luna,low,4c8fec16-910c-436d-a268-1d5eb8d882b1,68,546,12.4542,64,555,11.5315,rs-luna-low.json
rs,gpt-5.6-luna,max,2705a904-fd3c-4aa8-8c70-d7bab85aebc1,472,546,86.4469,520,555,93.6937,rs-luna-max.json
rs,gpt-5.6-sol,high,2effea0b-84ff-4c60-af9b-f9c0e3635718,482,546,88.2784,544,555,98.018,rs-sol-high.json
rs,gpt-5.6-sol,low,31143294-15ba-4ed7-a16b-8156d31517f9,376,546,68.8645,390,555,70.2703,rs-sol-low.json
rs,gpt-5.6-sol,max,61445309-7b80-4a6f-ab58-184e9bae07ad,481,546,88.0952,554,555,99.8198,rs-sol-max.json
rs,gpt-5.6-terra,high,8a6d8c58-0d18-4f69-9a50-9fd0c16c48d9,305,546,55.8608,317,555,57.1171,rs-terra-high.json
rs,gpt-5.6-terra,low,015a2c6c-0de2-4d8c-bd3f-1f957ddb9329,0,546,0.0,0,555,0.0,rs-terra-low.json
rs,gpt-5.6-terra,max,dec3573b-e061-43e6-adb5-2a3e45dfb3ba,471,546,86.2637,541,555,97.4775,rs-terra-max.json
