language,effort,run_uid,original_passed,original_total,original_percent,regraded_passed,regraded_total,regraded_percent,record
C++,max,811537e9-6c22-4297-886d-077cb78c6c35,478,546,87.5458,555,555,100.0,cpp-max.json
C++,high,1348e2b0-83b5-4172-aa2b-6e33f5615afc,490,546,89.7436,555,555,100.0,cpp-high.json
C++,low,bb2394eb-3fd8-432d-bdd8-9e680b318b74,483,546,88.4615,549,555,98.9189,cpp-low.json
Python,max,f9097e64-fccc-44db-95c4-15f92afe60a0,478,546,87.5458,555,555,100.0,py-max.json
Python,high,70fe802c-55cc-433e-9964-cbb6dfd2c6bf,474,546,86.8132,550,555,99.0991,py-high.json
Python,low,915a6178-2a90-4240-af60-331a5d05024b,485,546,88.8278,549,555,98.9189,py-low.json
JavaScript,max,bd5e7474-f103-471f-8105-a6ea1f7be304,477,546,87.3626,550,555,99.0991,js-max.json
JavaScript,high,14b61f2f-2ca0-4226-aa92-164f82b0bbd7,483,546,88.4615,555,555,100.0,js-high.json
JavaScript,low,efa4d713-8394-479d-a7f4-978294ca62be,482,546,88.2784,554,555,99.8198,js-low.json
Rust,max,48ffaf0d-057d-4215-9ec4-d45604a8d463,483,546,88.4615,555,555,100.0,rs-max.json
Rust,high,b8c46ae7-e4be-494c-8aa3-089721631852,481,546,88.0952,555,555,100.0,rs-high.json
Rust,low,d9e93a3d-b3e0-43c4-93e7-0e9ee71a09fe,490,546,89.7436,553,555,99.6396,rs-low.json
