language,agent,model,effort,run_uid,generation_eval,original_passed,original_total,original_percent,regraded_passed,regraded_total,regraded_percent,record
rs,claude-code,claude-haiku-4-5,max,36e3d0be-4b73-44db-af24-f726b13990e2,3.1.11,0,546,0.0,0,555,0.0,rs-claude-code-claude-haiku-4-5_max-run2.json
rs,claude-code,claude-haiku-4-5,max,75503145-cbcb-4b56-8df5-6414a192c607,3.1.11,138,546,25.2747,187,555,33.6937,rs-claude-code-claude-haiku-4-5_max-run1.json
rs,claude-code,claude-haiku-4-5,max,84e0ec1d-9286-4e8b-8dfd-7ae7f0056580,3.1.11,140,546,25.641,133,555,23.964,rs-claude-code-claude-haiku-4-5_max-run3.json
rs,claude-code,claude-opus-4-5-20251101,max,5cd3c8a8-d3cd-4d2f-9106-8b49eb84ddb0,3.1.11,0,546,0.0,0,555,0.0,rs-claude-code-claude-opus-4-5-20251101_max-run3.json
rs,claude-code,claude-opus-4-5-20251101,max,60d50ee3-35fc-4421-ba46-25629801be72,3.1.11,16,546,2.9304,153,555,27.5676,rs-claude-code-claude-opus-4-5-20251101_max-run2.json
rs,claude-code,claude-opus-4-5-20251101,max,bc246d66-cb1a-4c68-b0f9-31c7973e35d8,3.1.11,409,546,74.9084,244,555,43.964,rs-claude-code-claude-opus-4-5-20251101_max-run1.json
rs,claude-code,claude-opus-4-6,max,314cbe7b-2801-428d-becf-0967f6a9ca44,3.1.11,456,546,83.5165,465,555,83.7838,rs-claude-code-claude-opus-4-6_max-run2.json
rs,claude-code,claude-opus-4-6,max,592669be-2e25-432c-aeca-85886531270c,3.1.11,429,546,78.5714,450,555,81.0811,rs-claude-code-claude-opus-4-6_max-run3.json
rs,claude-code,claude-opus-4-6,max,94e21ba4-cf8c-47bc-b5fc-3f1c56298e2e,3.1.11,351,546,64.2857,370,555,66.6667,rs-claude-code-claude-opus-4-6_max-run1.json
rs,claude-code,claude-opus-4-7,max,214e6249-7dda-4e89-956c-1bab3996d64c,3.1.11,474,546,86.8132,497,555,89.5495,rs-claude-code-claude-opus-4-7_max-run2.json
rs,claude-code,claude-opus-4-7,max,3d3e1575-4612-4162-ba21-4a2c555578a7,3.1.11,472,546,86.4469,495,555,89.1892,rs-claude-code-claude-opus-4-7_max-run3.json
rs,claude-code,claude-opus-4-7,max,cc7ce76f-bab6-4bf3-82cb-ee62d72342eb,3.1.11,461,546,84.4322,499,555,89.9099,rs-claude-code-claude-opus-4-7_max-run1.json
rs,claude-code,claude-sonnet-4-5-20250929,max,628bd80e-ecec-4d8a-85e6-13f27ef79653,3.1.11,181,546,33.1502,174,555,31.3514,rs-claude-code-claude-sonnet-4-5-20250929_max-run2.json
rs,claude-code,claude-sonnet-4-5-20250929,max,b09617c5-6ed2-4d37-b329-96b1aa4b273f,3.1.11,143,546,26.1905,185,555,33.3333,rs-claude-code-claude-sonnet-4-5-20250929_max-run3.json
rs,claude-code,claude-sonnet-4-5-20250929,max,dac8c1db-53e5-465b-a29b-731370c3ae64,3.1.11,216,546,39.5604,214,555,38.5586,rs-claude-code-claude-sonnet-4-5-20250929_max-run1.json
rs,claude-code,claude-sonnet-4-6,max,1c57de74-0aa8-4d8e-b816-5a84e3a56671,3.1.11,139,546,25.4579,1,555,0.1802,rs-claude-code-claude-sonnet-4-6_max-run1.json
