language,agent,model,effort,run_uid,generation_eval,original_passed,original_total,original_percent,regraded_passed,regraded_total,regraded_percent,record
cpp,claude-code,claude-haiku-4-5,max,aea74736-d82f-4c7b-839d-d98ebd8cd862,3.1.11,120,546,21.978,110,555,19.8198,cpp-claude-code-claude-haiku-4-5_max-run1.json
cpp,claude-code,claude-haiku-4-5,max,e85f5fbc-a68f-490c-813d-7744dc22e324,3.1.11,70,546,12.8205,67,555,12.0721,cpp-claude-code-claude-haiku-4-5_max-run3.json
cpp,claude-code,claude-haiku-4-5,max,f0a5f121-1d91-4f96-852f-3a6e63e88b00,3.1.11,136,546,24.9084,5,555,0.9009,cpp-claude-code-claude-haiku-4-5_max-run2.json
cpp,claude-code,claude-opus-4-1-20250805,max,327e0d73-7f8c-4c40-b516-f756be4dcc24,3.1.11,132,546,24.1758,128,555,23.0631,cpp-claude-code-claude-opus-4-1-20250805_max-run1.json
cpp,claude-code,claude-opus-4-1-20250805,max,7b4fb87d-2cb7-4688-b9cb-714d864f4a17,3.1.11,188,546,34.4322,193,555,34.7748,cpp-claude-code-claude-opus-4-1-20250805_max-run3.json
cpp,claude-code,claude-opus-4-1-20250805,max,fa481069-c6fa-47db-af30-5b8e3d1e782e,3.1.11,200,546,36.63,184,555,33.1532,cpp-claude-code-claude-opus-4-1-20250805_max-run2.json
cpp,claude-code,claude-opus-4-20250514,max,0b8f5f0a-0793-4dd9-9e12-589ee9bd974f,3.1.11,257,546,47.0696,183,555,32.973,cpp-claude-code-claude-opus-4-20250514_max-run1.json
cpp,claude-code,claude-opus-4-20250514,max,348fd4fe-7b9b-4739-8272-fdbe776e8456,3.1.11,231,546,42.3077,182,555,32.7928,cpp-claude-code-claude-opus-4-20250514_max-run2.json
cpp,claude-code,claude-opus-4-20250514,max,df98094b-7d2c-4ae7-83f7-8768cac2b129,3.1.11,28,546,5.1282,81,555,14.5946,cpp-claude-code-claude-opus-4-20250514_max-run3.json
cpp,claude-code,claude-opus-4-5-20251101,max,2ce1d493-7dc5-4f02-b7ef-1c7e9588a9f1,3.1.11,312,546,57.1429,172,555,30.991,cpp-claude-code-claude-opus-4-5-20251101_max-run3.json
